T1	3rd Floor Salons I--II	
T2	3rd Floor Salons VII--VIII	
T3	3rd Floor Salon III	
T4	3rd Floor Dover A/B/C	
T5	3rd Floor Salons I--III	
T6	3rd Floor Dover A/B/C	
T7	3rd Floor Salons VII--VIII	
T8	3rd Floor Salon IV        
CoNLL	3rd Floor Dover A/B/C	
W1	3rd Floor Salon V	
W2	3rd Floor Salons III--IV	
W3	3rd Floor Salon VIII	
W4	3rd Floor Salon I	
W5	3rd Floor Salon VII	
W6	3rd Floor Salon IX	
W7	Heron	
W8	Galena	
W9	3rd Floor Salon VI	
W10	3rd Floor Salon II	
W11	3rd Floor Salon IX	
W12	3rd Floor Salon VIII	
W13	3rd Floor Salon I	
W14	3rd Floor Salon II	
W15	4th Floor Heron	
W16	4th Floor Galena	
W17	3rd Floor Salon VII	
All Plenaries	Grand Ballroom Salons V & VI	
Track A	Grand Ballroom Salon V	
Track B	Grand Ballroom Salon VI	
Track C	Harborside A/B	
Track D	Harborside C	
Track E	Harborside D/E	
Breakfast	Grand Foyer	Floor 3
Break	Grand Foyer	Floor 3
Registration	Grand Foyer	Floor 3
Exhibit	Grand Foyer	Floor 3
